매장이름,"위치(시,구)",주소,전화번호
부산해운대점,부산 해운대구,"부산광역시 해운대구 해운대해변로 277, 다옴빌딩 1~2층 (중1동 1412-7) 할리스",051-746-1463
도곡점,서울 강남구,"서울특별시 강남구 논현로28길 54, 덕원빌딩 1층 (도곡동 422-2) 할리스",02-6204-3311
대명거리점,서울 종로구,서울특별시 종로구 대명길 6 2~4층 할리스,02-747-0348
부산경성대점,부산 남구,"부산광역시 남구 용소로 7, 청라빌딩 2~3층 (대연동 56-8) 할리스",051-611-6893
분당수내엔타워점,경기 성남시 분당구,"경기도 성남시 분당구 황새울로200번길 26, 엔타워빌딩 1층 (수내동, 교보생명)",031-712-0341
인천한옥마을점,인천 연수구,"인천광역시 연수구 테크노파크로 180, 다동 지상1층(송도동) ",032-831-0337
인천구월로데오점,인천 남동구,"인천광역시 남동구 인하로 497-24 (구월동, 조한빌딩) 1층",032-421-0399
강남역점,서울 강남구,"서울특별시 강남구 강남대로 402, 시계탑빌딩 B1~1층 (역삼동 820-11)  할리스",02-555-0890
대전둔산청솔점,대전 서구,대전광역시 서구 둔산로 223 제상가 2동 할리스,042-489-7990
수원권선점,경기 수원시 권선구,경기도 수원시 권선구  권선로 667 (권선동) 1층 할리스,031-302-2601
용산더프라임점,서울 용산구,서울특별시 용산구 원효로90길 11 더프라임타워 업무동 1층,02-6362-7990
마산터미널점,경남 창원시 마산회원구,"경상남도 창원시 마산회원구 합성옛길 159, 마산시외버스터미널 1층(합성동 267) 할리스",055-251-5698
세종로점,서울 종로구,"서울특별시 종로구 세종대로 161, 2~3층 (세종로 200) 할리스",02-720-5582
광장점,서울 광진구,"서울특별시 광진구 광나루로620, 이진빌딩 1층 (구의동 199-2) 할리스",070-4706-0293
수원역점,경기 수원시 팔달구,경기도 수원시 팔달구 향교로 6 (매산로1가),031-257-3313
종로코리안리빌딩점,서울 종로구,서울특별시 종로구 종로5길 68 코리안리빌딩 1층 할리스,070-4733-4828
성남터미널점,경기 성남시 분당구,"경기도 성남시 분당구  성남대로925번길 16 (야탑동, 분당종합터미널) 1층 할리스 ",031-725-1004
합정역점,서울 마포구,서울특별시 마포구 양화로 36 (합정동 374-1) 할리스,02-6204-1234
부산달맞이점,부산 해운대구,"부산광역시 해운대구 달맞이길 199, 2~3층 (중동 1488-14) 할리스",051-731-3410
신흥역점,경기 성남시 수정구,경기도 성남시 수정구 산성대로 265 (신흥동) 2층 할리스,031-626-6140
신림점,서울 관악구,서울특별시 관악구 신림로 353-1,02-877-0019
태평로점,서울 중구,"서울특별시 중구 세종대로 64, 해남빌딩 1층 (태평로2가 70-5) 할리스",02-755-7795
이태원점,서울 용산구,서울특별시 용산구  이태원로 179,02-749-8752
부산서면본점,부산 부산진구,"부산광역시 부산진구 동천로 73, DS타워 1~2층 (부전동 부전동 169-1) 할리스",051-819-9117
신촌점,서울 서대문구,서울특별시 서대문구 연세로 34 (창천동 31-12)  할리스,02-393-2004
